this_is_a_report,ts,CoreId,L0,L1,L2,L3,num_pkts_done,num_alloc_pkts,num_deallocated_pkts,num_wip_packets
this_is_a_report,1704369843502726246,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843552800780,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843552829465,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843552837700,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843552842820,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843552847559,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843552852338,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843552856977,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843552861706,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843602931851,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843602952832,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843602958202,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843602963321,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843602968431,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843602973450,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843602978580,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843602983579,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843653054116,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843653074795,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843653079955,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843653084825,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843653089734,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843653094513,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843653099382,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843653104191,7,0,0,0,0,0,0,0,0
this_is_a_report,1704369843703180148,0,0,0,0,0,0,0,0,0
this_is_a_report,1704369843703224983,1,0,0,0,0,0,0,0,0
this_is_a_report,1704369843703230123,2,0,0,0,0,0,0,0,0
this_is_a_report,1704369843703235513,3,0,0,0,0,0,0,0,0
this_is_a_report,1704369843703240232,4,0,0,0,0,0,0,0,0
this_is_a_report,1704369843703245122,5,0,0,0,0,0,0,0,0
this_is_a_report,1704369843703252155,6,0,0,0,0,0,0,0,0
this_is_a_report,1704369843703258918,7,0,0,0,0,0,0,0,0
